Symbol,Date,Close,Signal,Theta,Half_Life,Deviation_Xt,Prev_Xt,Upper_Band,Lower_Band,Regime_Valid
TATAELXSI.NS,2026-07-01,3587.800048828125,BUY,0.13498686491311704,5.134923172014423,-1267.1909606933596,-1035.9595581054691,-583.2220377113549,-1225.2915023774433,True
NMDC.NS,2026-07-01,84.30000305175781,BUY,0.11437432886557151,6.060338779120859,2.780452995300294,3.679603614807135,16.36722712865768,2.7916661455875875,True
KPITTECH.NS,2026-07-01,557.5499877929688,BUY,0.07656050811301572,9.053586472241637,-407.1890118408203,-296.70776214599607,-189.93365875397626,-401.67524701816603,True
ABCAPITAL.NS,2026-07-01,393.1499938964844,SELL,0.2823730829831187,2.4547211555620696,54.92324401855467,54.23901229858399,54.84961678348522,15.304351635024585,True
OBEROIRLTY.NS,2026-07-01,1804.5999755859375,SELL,0.17583693195206845,3.9419885962801655,176.7319555664062,142.2479766845704,159.8179783301769,-14.096287782450275,True
DELHIVERY.NS,2026-07-01,507.70001220703125,SELL,0.15631838462625672,4.4342012759228435,67.86726226806638,32.43598785400388,60.76609354034123,-4.645823215646043,True
PHOENIXLTD.NS,2026-07-01,2018.5,SELL,0.16483516632451023,4.205092857402465,292.218907470703,224.77513977050785,255.45298509207623,37.8708047421369,True
GODREJPROP.NS,2026-07-01,1959.5999755859375,SELL,0.14788334120454055,4.687121449340523,71.02747375488275,-21.996026611328034,26.362827584644222,-252.0914174260792,True
BOSCHLTD.NS,2026-07-01,40785.0,SELL,0.15197627314241147,4.560890764247272,4036.949999999997,3152.175000000003,3958.427017642964,-785.2853563705635,True
TECHM.NS,2026-07-01,1326.199951171875,BUY,0.28533306612534776,2.429256412418193,-160.38541015624992,-82.66778869628911,30.58117592039214,-131.62695279687244,True
PAYTM.NS,2026-07-01,1203.699951171875,SELL,0.23467921036104827,2.953594310691412,17.42945190429691,-44.93999938964839,14.251443782830407,-141.60933849304917,True
