Symbol,Date,Close,Signal,Theta,Half_Life,Deviation_Xt,Prev_Xt,Upper_Band,Lower_Band,Regime_Valid
GODREJCP.NS,2025-12-16,1182.4000244140625,SELL,0.2697235168610869,2.56984332929683,3.3845388793945403,-12.161983947753924,-0.40506413032809974,-72.12672491968483,True
RECLTD.NS,2025-12-16,335.3999938964844,BUY,0.1533122034318148,4.521148121572858,-45.390655517578125,-38.4971760559082,-12.953288179261625,-44.59184913275432,True
JUBLFOOD.NS,2025-12-16,560.2000122070312,BUY,0.4152121612916596,1.6693807291281488,-84.62751983642579,-67.94439819335935,-43.474888665489495,-82.90359226456837,True
ONGC.NS,2025-12-16,232.2100067138672,BUY,0.09299051998197758,7.453955313878056,-3.336439666748049,-0.17313354492188182,17.117628934029835,-2.6588751946382345,True
