Symbol,Date,Close,Signal,Theta,Half_Life,Deviation_Xt,Prev_Xt,Upper_Band,Lower_Band,Regime_Valid
BHARTIARTL.NS,2026-01-08,2066.300048828125,BUY,0.15796827505424532,4.387888519526613,127.57643493652336,147.35227539062498,302.9604936872424,131.6079898019068,True
COLPAL.NS,2026-01-08,2046.5999755859375,BUY,0.4304610957331596,1.6102434980317555,-258.5662945556642,-230.1667773437498,-155.5143382704519,-243.37927908207365,True
LT.NS,2026-01-08,4028.39990234375,BUY,0.4113574042152175,1.6850241990473536,348.59658325195323,480.7382507324219,514.4324623338579,373.9295862316577,True
UNITDSPR.NS,2026-01-08,1350.199951171875,BUY,0.13565313367632212,5.109702678994818,-60.17196533203128,-32.4984832763671,77.53530430817291,-51.78466846674039,True
ICICIGI.NS,2026-01-08,1908.199951171875,BUY,0.2087691226725231,3.320161390184225,-6.233083496093741,52.74414428710929,191.36870423225014,20.41412091977911,True
CYIENT.NS,2026-01-08,1180.5999755859375,SELL,0.23306622033865187,2.9740353602198666,-16.956964111328034,-21.017113647460974,-18.776405732698272,-123.49341494882268,True
