Symbol,Date,Close,Signal,Theta,Half_Life,Deviation_Xt,Mu_OU,Sigma_OU,Upper_Band,Lower_Band,Drift_Z,Regime_Valid,Drift_Dominant,Filter_Reason
3MINDIA.NS,2026-01-23,33315.0,FILTERED_BUY,0.19917938537613603,3.4800146573953246,2148.9346484374983,4927.958437093539,779.4799463554693,7397.962971178281,2457.953903008797,0.710119936706807,True,False,DriftZ=0.71<=1.28
PDSL.NS,2026-01-23,311.1499938964844,FILTERED_BUY,0.2507526350002402,2.7642667865056785,-54.01643951416014,-15.515577877848273,10.904955921200068,15.281971455439233,-46.31312721113578,0.8853032121217815,True,False,DriftZ=0.89<=1.28
NRL.NS,2026-01-23,51.43000030517578,FILTERED_SELL,0.007771381619889394,89.19227165295358,-16.921849727630615,-30.83169270705936,0.8327448543585492,-17.47257311507512,-44.1908122990436,0.12981010630098325,False,False,Theta=0.0078<0.02; HalfLife=89.19>25; DriftZ=0.13<=1.28
NSIL.NS,2026-01-23,5826.0,FILTERED_BUY,0.10001923692360534,6.9301386601196615,-1128.0277490234375,-634.4029963944838,98.95378533938849,-191.91077399362842,-1076.8952187953391,0.4989396910407926,True,False,DriftZ=0.50<=1.28
OLECTRA.NS,2026-01-23,989.4000244140625,FILTERED_SELL,0.014518612170083862,47.741972334532136,-338.52032836914054,-685.8722310717218,25.923277751649554,-381.6139840408093,-990.1304781026342,0.19453819112664408,False,False,Theta=0.0145<0.02; HalfLife=47.74>25; DriftZ=0.19<=1.28
ORCHPHARMA.NS,2026-01-23,688.4000244140625,FILTERED_BUY,0.11313341405908231,6.1268121918247695,-67.24047668457035,25.019838542048813,17.82912022166353,99.98327111943148,-49.943594035333845,0.5854312671621371,True,False,DriftZ=0.59<=1.28
ORICONENT.NS,2026-01-23,64.5,FILTERED_SELL,0.3794173147900027,1.8268728219311332,13.74361982345581,11.205579818009998,1.0166770783324104,13.539787300950739,8.871372335069257,0.947180126530797,True,False,DriftZ=0.95<=1.28
ORIENTLTD.NS,2026-01-23,65.27999877929688,FILTERED_SELL,0.007666337754662574,90.41438073066655,-19.46935111999511,-47.783880997384024,1.4190680505915867,-24.86337264243837,-70.70438935232968,0.1529657082435586,False,False,Theta=0.0077<0.02; HalfLife=90.41>25; DriftZ=0.15<=1.28
PARADEEP.NS,2026-01-23,129.05999755859375,FILTERED_SELL,0.005121012579234247,135.3535399172155,-40.70749382019042,-196.01433350886532,3.759893869823974,-121.71025324944932,-270.3184137682813,0.2115294492937524,False,False,Theta=0.0051<0.02; HalfLife=135.35>25; DriftZ=0.21<=1.28
PARAGMILK.NS,2026-01-23,260.8500061035156,FILTERED_SELL,0.005142201461382549,134.79580404723845,3.6788680267334257,-244.06030109565168,9.022121249164487,-66.13032785638458,-421.9902743349188,0.14120013268728812,False,False,Theta=0.0051<0.02; HalfLife=134.80>25; DriftZ=0.14<=1.28
