Symbol,Date,Close,Signal,Theta,Half_Life,Deviation_Xt,Mu_OU,Sigma_OU,Upper_Band,Lower_Band,Drift_Z,Regime_Valid,Drift_Dominant,Filter_Reason
AAREYDRUGS.NS,2026-03-30,50.75,FILTERED_BUY,0.11497045003547494,6.028915954891625,-21.694350280761725,-5.682735844536619,3.235570011528898,7.81225777997777,-19.17772946905101,0.5689453515046793,True,False,DriftZ=0.57<=1.28
NIBL.NS,2026-03-30,25.93000030517578,FILTERED_BUY,0.2105980812691556,3.2913271402224513,-3.1864996623992923,1.683890614066942,1.413895804981418,6.041067576454148,-2.6732863483202642,0.7254387796059847,True,False,DriftZ=0.73<=1.28
NINSYS.NS,2026-03-30,397.45001220703125,FILTERED_SELL,0.09746579075487131,7.111697090759016,-8.70273773193361,-80.66013247228908,13.681164835935862,-18.685784256654884,-142.63448068792326,0.5126306468150533,True,False,DriftZ=0.51<=1.28
NIPPOBATRY.NS,2026-03-30,259.25,FILTERED_SELL,0.00825891165825,83.92718184211911,-161.64443054199216,-304.17352630529115,8.254132454784964,-175.72621401801422,-432.6208385925681,0.14261162115916243,False,False,Theta=0.0083<0.02; HalfLife=83.93>25; DriftZ=0.14<=1.28
NITCO.NS,2026-03-30,87.86000061035156,FILTERED_SELL,0.12279254650282496,5.644863636279411,-17.628499298095704,-31.700047571215862,3.1739670982958237,-18.89057006654057,-44.509525075891155,0.5443916689059545,True,False,DriftZ=0.54<=1.28
NRBBEARING.NS,2026-03-30,216.1999969482422,FILTERED_SELL,0.004219189371308365,164.28444413363727,-57.87380638122556,-270.2133712825621,6.065627191882278,-138.15187833626047,-402.27486422886375,0.14770126929972877,False,False,Theta=0.0042<0.02; HalfLife=164.28>25; DriftZ=0.15<=1.28
NSIL.NS,2026-03-30,4730.5,FILTERED_SELL,0.0004638373769784843,1494.375431913711,-1965.6800000000003,-53596.8135732023,115.01822823688144,-46044.17329826345,-61149.45384814115,0.20821438422523592,False,False,Theta=0.0005<0.02; HalfLife=1494.38>25; DriftZ=0.21<=1.28
OBCL.NS,2026-03-30,57.2400016784668,SELL,0.9162052746876473,0.7565413556435298,1.7901018333435061,0.11744601272311517,0.958624779068006,1.5337851454659686,-1.2988931200197382,1.598640176064842,True,True,
OMAXE.NS,2026-03-30,65.25,FILTERED_BUY,0.20827950185911112,3.32796638350335,-18.028850135803225,-9.60069379242451,2.373172576120874,-2.2467373406873152,-16.954650244161705,0.7396900766732175,True,False,DriftZ=0.74<=1.28
ORCHPHARMA.NS,2026-03-30,482.45001220703125,FILTERED_SELL,0.003043315551034207,227.76053581574666,-241.39373809814458,-1370.1760685535264,15.710887713934378,-967.4198729065286,-1772.9322642005243,0.21865351484631232,False,False,Theta=0.0030<0.02; HalfLife=227.76>25; DriftZ=0.22<=1.28
ORICONENT.NS,2026-03-30,63.9900016784668,FILTERED_BUY,0.25665702000259155,2.7006749340148435,7.699463214874271,11.806857293009932,1.3162078828631232,15.481058297807323,8.13265628821254,0.8009308695047674,True,False,DriftZ=0.80<=1.28
ORIENTPPR.NS,2026-03-30,13.979999542236328,FILTERED_SELL,0.004774892536614844,145.16498020526163,-10.447250423431395,-30.052932197137217,0.4253864296485518,-21.346968974930498,-38.758895419343936,0.2200705453952939,False,False,Theta=0.0048<0.02; HalfLife=145.16>25; DriftZ=0.22<=1.28
OSWALAGRO.NS,2026-03-30,33.88999938964844,FILTERED_BUY,0.14933469829902465,4.641568158339209,-32.950400562286376,-25.799297107266174,1.8577883880019737,-19.000518841302732,-32.59807537322962,0.5748275120338519,True,False,DriftZ=0.57<=1.28
PANACEABIO.NS,2026-03-30,296.04998779296875,FILTERED_BUY,0.28190733576201576,2.4587766710160937,-96.07651168823242,-63.39811575342271,12.0426174724545,-31.321931413760645,-95.47430009308476,0.7649731925829297,True,False,DriftZ=0.76<=1.28
PANAMAPET.NS,2026-03-30,232.10000610351562,FILTERED_BUY,0.17079682983434039,4.058314087165693,-70.34226425170897,-35.088944826688845,6.949839354099105,-11.3068634374009,-58.87102621597679,0.8663732918343577,True,False,DriftZ=0.87<=1.28
PATINTLOG.NS,2026-03-30,8.260000228881836,FILTERED_SELL,0.004118271959129168,168.31020084125652,-5.624506158828735,-20.772464435209574,0.27198031156527464,-14.778765100921882,-26.76616376949727,0.2293673812220262,False,False,Theta=0.0041<0.02; HalfLife=168.31>25; DriftZ=0.23<=1.28
PFOCUS.NS,2026-03-30,329.3500061035156,FILTERED_SELL,0.11826288750490908,5.8610710019334915,133.38580619812012,92.33031834125288,9.841104241481878,132.8004475207316,51.860189161774144,0.49337355064381805,True,False,DriftZ=0.49<=1.28
PFS.NS,2026-03-30,24.010000228881836,FILTERED_SELL,0.00575133609817613,120.51933128716941,-11.534949722290037,-30.226965829808925,0.8119449375327527,-15.085873691299183,-45.368057968318666,0.1324031495455029,False,False,Theta=0.0058<0.02; HalfLife=120.52>25; DriftZ=0.13<=1.28
PILITA.NS,2026-03-30,6.409999847412109,BUY,0.5005503337792158,1.3847701894964288,-5.6027001690864555,-4.692456358897469,0.2590403378131914,-4.174660565418398,-5.21025215237654,1.7588876190361424,True,True,
PIONEEREMB.NS,2026-03-30,19.920000076293945,FILTERED_BUY,0.13692752906201985,5.062146270425955,-13.616249980926511,-10.237925627310116,0.8688387371214079,-6.917385078964871,-13.55846617565536,0.5324182570903243,True,False,DriftZ=0.53<=1.28
PLAZACABLE.NS,2026-03-30,28.18000030517578,FILTERED_BUY,0.12901728879580207,5.372513924525275,-19.539349718093874,-14.310396606326274,1.1959470590620849,-9.601675184725561,-19.019118027926986,0.564092991080809,True,False,DriftZ=0.56<=1.28
