Symbol,Date,Close,Signal,Theta,Half_Life,Deviation_Xt,Mu_OU,Sigma_OU,Upper_Band,Lower_Band,Drift_Z,Regime_Valid,Drift_Dominant,Filter_Reason
ABBOTINDIA.NS,2026-05-07,26700.0,SELL,0.379743527396405,1.8253034760389368,-2313.855585937501,-3544.7419660434816,355.31677285025745,-2729.314160106907,-4360.169771980057,1.3155054067842284,True,True,
NECCLTD.NS,2026-05-07,16.8700008392334,FILTERED_BUY,0.0049731912491020516,139.3767393693332,-1.557749185562134,13.10436967026184,0.48617793467770887,22.85410130684153,3.35463803368215,0.14998114061966955,False,False,Theta=0.0050<0.02; HalfLife=139.38>25; DriftZ=0.15<=1.28
POCL.NS,2026-05-07,1436.300048828125,FILTERED_SELL,0.06205023815959331,11.170741662218438,201.32795349121102,-8.41660425078232,33.97247783909698,184.45597820456223,-201.28918670612686,0.38309539334194176,True,False,DriftZ=0.38<=1.28
PANAMAPET.NS,2026-05-07,298.29998779296875,FILTERED_SELL,0.12464599914862658,5.5609260248573555,5.481764678955074,-27.199941661344038,7.26301419430235,1.8933405108422257,-56.293223833530305,0.560875117642515,True,False,DriftZ=0.56<=1.28
PAKKA.NS,2026-05-07,94.83000183105469,FILTERED_BUY,0.005536386026834893,125.19849179595808,-29.593298568725587,40.866656011684604,2.527885135550349,88.91286788160863,-7.179555858239425,0.15431615246452898,False,False,Theta=0.0055<0.02; HalfLife=125.20>25; DriftZ=0.15<=1.28
ONESOURCE.NS,2026-05-07,1815.9000244140625,FILTERED_BUY,0.003583416293879393,193.4319441879712,147.7255267333985,3071.894263942934,46.3518993430107,4166.944140421351,1976.844387464516,0.2260643910495851,False,False,Theta=0.0036<0.02; HalfLife=193.43>25; DriftZ=0.23<=1.28
OIL.NS,2026-05-07,452.8500061035156,FILTERED_BUY,0.41140195595516516,1.6848417235903588,15.803722839355487,41.00769814829424,8.648423070525814,60.07629550030897,21.9391007962795,1.1989428194465825,True,False,DriftZ=1.20<=1.28
NRL.NS,2026-05-07,56.54999923706055,FILTERED_BUY,0.001245332738151778,556.5959677480721,-5.172550716400146,113.55737291274171,1.0519231295695288,155.71307237143193,71.40167345405149,0.14055994847659423,False,False,Theta=0.0012<0.02; HalfLife=556.60>25; DriftZ=0.14<=1.28
NORBTEAEXP.NS,2026-05-07,72.55000305175781,FILTERED_SELL,0.0035529672866470405,195.0896601736159,5.677553043365478,-100.21277849259194,2.242473865864348,-47.00847234149638,-153.4170846436875,0.1677722490533697,False,False,Theta=0.0036<0.02; HalfLife=195.09>25; DriftZ=0.17<=1.28
NOCIL.NS,2026-05-07,188.83999633789062,FILTERED_BUY,0.006617863535445364,104.73881439945684,22.99876548767091,128.45182007055587,4.227650373664412,201.94637396088677,54.95726618022496,0.1650737083115286,False,False,Theta=0.0066<0.02; HalfLife=104.74>25; DriftZ=0.17<=1.28
NIITLTD.NS,2026-05-07,74.38999938964844,FILTERED_BUY,0.0030586512690896767,226.61857125223742,-16.94631343841553,42.895122733950004,2.1590657203997012,98.10488512252914,-12.314639654629126,0.0847746703416097,False,False,Theta=0.0031<0.02; HalfLife=226.62>25; DriftZ=0.08<=1.28
NGIL.NS,2026-05-07,37.0,FILTERED_BUY,0.003432515150533808,201.935650728927,7.8131999397277845,47.152024445524994,1.1759460855799984,75.5375001744306,18.766548716619383,0.11482763774305156,False,False,Theta=0.0034<0.02; HalfLife=201.94>25; DriftZ=0.11<=1.28
MSPL.NS,2026-05-07,40.18000030517578,FILTERED_BUY,0.004450940156342478,155.73051000747068,6.471850357055665,26.07882303764294,0.9234221546271133,45.653265915034844,6.5043801602510385,0.09450657168126539,False,False,Theta=0.0045<0.02; HalfLife=155.73>25; DriftZ=0.09<=1.28
PREMIERENE.NS,2026-05-07,1017.75,FILTERED_BUY,0.004588918979704254,151.04803192768878,82.67765350341801,936.9662006270414,18.882951405596845,1331.1780536252127,542.75434762887,0.20760848470317067,False,False,Theta=0.0046<0.02; HalfLife=151.05>25; DriftZ=0.21<=1.28
MIRCELECTR.NS,2026-05-07,39.75,FILTERED_SELL,0.06988022205745943,9.919075242634474,12.550600037574767,4.867153630641133,1.3380663128540522,12.025545954212298,-2.2912386929300315,0.4012663168672681,True,False,DriftZ=0.40<=1.28
MANOMAY.NS,2026-05-07,193.1699981689453,FILTERED_BUY,0.18660942148743603,3.7144275730291207,-10.223852081298816,19.906376413440928,8.85705910059731,48.90235412076775,-9.089601293885892,0.634813931444633,True,False,DriftZ=0.63<=1.28
MANGALAM.NS,2026-05-07,29.729999542236328,FILTERED_BUY,0.005773813297315517,120.05015487463335,-20.853450269699096,2.80023342299862,0.8795567271571565,19.170188372895847,-13.569721526898608,0.1552736159233434,False,False,Theta=0.0058<0.02; HalfLife=120.05>25; DriftZ=0.16<=1.28
MALUPAPER.NS,2026-05-07,34.369998931884766,FILTERED_SELL,0.20948258799238217,3.3088534336092486,-1.4085011100769051,-4.6988907687496475,0.9997663561764437,-1.609736831203143,-7.7880447062961515,0.6894404246990781,True,False,DriftZ=0.69<=1.28
MAHSEAMLES.NS,2026-05-07,652.5,FILTERED_BUY,0.006899292101021369,100.46642038207543,61.2455993652344,330.18451794656715,10.001088153967201,500.46308507011327,159.90595082302102,0.1855286272913602,False,False,Theta=0.0069<0.02; HalfLife=100.47>25; DriftZ=0.19<=1.28
MAGADSUGAR.NS,2026-05-07,530.7000122070312,FILTERED_BUY,0.004752111148656551,145.8608940062149,20.51818435668946,420.34376818602647,10.853244873232317,642.9981798408417,197.68935653121127,0.17506429059935544,False,False,Theta=0.0048<0.02; HalfLife=145.86>25; DriftZ=0.18<=1.28
MACPOWER.NS,2026-05-07,1235.0999755859375,FILTERED_BUY,0.003590719219031379,193.03853581370433,307.1795809936524,1821.678656903837,30.73650430242547,2547.080655647521,1096.2766581601534,0.17692776268792643,False,False,Theta=0.0036<0.02; HalfLife=193.04>25; DriftZ=0.18<=1.28
LUXIND.NS,2026-05-07,1508.9000244140625,FILTERED_BUY,0.004139582101109309,167.44375727545022,325.0221780395507,2426.7364652845185,57.89944682472113,3699.392854215366,1154.0800763536713,0.1502642826875899,False,False,Theta=0.0041<0.02; HalfLife=167.44>25; DriftZ=0.15<=1.28
LUPIN.NS,2026-05-07,2460.10009765625,FILTERED_SELL,0.22971019239891885,3.017485525223075,358.36794860839836,259.7211320653956,26.677580195305136,338.43863321351023,181.00363091728096,0.8494090933937809,True,False,DriftZ=0.85<=1.28
LINC.NS,2026-05-07,108.44000244140625,FILTERED_SELL,0.1952680669625422,3.5497211159104167,-8.729642601013182,-19.335688310215076,3.124323913651531,-9.336714352787725,-29.33466226764243,0.6628704644556931,True,False,DriftZ=0.66<=1.28
POWERINDIA.NS,2026-05-07,34875.0,FILTERED_BUY,0.010907538255581104,63.54753605427695,13494.2314453125,26451.36818550692,660.2454606631615,35391.77023472351,17510.966136290328,0.21405745756208824,False,False,Theta=0.0109<0.02; HalfLife=63.55>25; DriftZ=0.21<=1.28
PRIVISCL.NS,2026-05-07,3493.5,FILTERED_BUY,0.0018644172748072628,371.77684948858916,688.189606933594,4262.653394235532,53.27847544226433,6007.652576428932,2517.654212042132,0.12508413534543686,False,False,Theta=0.0019<0.02; HalfLife=371.78>25; DriftZ=0.13<=1.28
KOTHARIPET.NS,2026-05-07,136.99000549316406,FILTERED_BUY,0.0010286431477937706,673.8461069289232,0.6948499298095783,455.8193565362224,3.3216376663869145,602.284703841083,309.35400923136183,0.14094273732840507,False,False,Theta=0.0010<0.02; HalfLife=673.85>25; DriftZ=0.14<=1.28
STYLEBAAZA.NS,2026-05-07,416.95001220703125,FILTERED_BUY,0.0033342618891099986,207.8862439761636,104.02226181030272,488.61343016048494,12.637975183530994,798.136227601255,179.0906327197149,0.1014662283234539,False,False,Theta=0.0033<0.02; HalfLife=207.89>25; DriftZ=0.10<=1.28
ZEEL.NS,2026-05-07,94.58000183105469,FILTERED_BUY,0.004360139671848043,158.97361844515297,-3.3386798477172874,61.098839141322614,2.4117701737925445,112.75245364158702,9.445224641058203,0.1164939287966092,False,False,Theta=0.0044<0.02; HalfLife=158.97>25; DriftZ=0.12<=1.28
VLEGOV.NS,2026-05-07,14.920000076293945,FILTERED_BUY,0.004223350594372726,164.12257639313864,-9.0781499004364,34.00509187477751,0.8171144268011605,51.78662931880209,16.223554430752934,0.222680727191629,False,False,Theta=0.0042<0.02; HalfLife=164.12>25; DriftZ=0.22<=1.28
VARROC.NS,2026-05-07,565.0,FILTERED_SELL,0.14685109388972864,4.720068214680332,-10.03597549438473,-60.530933883917285,13.183358590590736,-11.878735379273834,-109.18313238856074,0.5624697094040674,True,False,DriftZ=0.56<=1.28
TRITURBINE.NS,2026-05-07,574.0999755859375,FILTERED_BUY,0.00042723220063053366,1622.4132439852594,50.920815429687536,3891.361717640234,12.25117701352617,4729.58713097246,3053.136304308008,0.1339267252633284,False,False,Theta=0.0004<0.02; HalfLife=1622.41>25; DriftZ=0.13<=1.28
TITAGARH.NS,2026-05-07,844.2999877929688,FILTERED_BUY,0.0019997497690079917,346.6169574325253,32.812145996093705,690.3615038747171,20.15097951305222,1327.6312947311067,53.09171301832737,0.06525410716027076,False,False,Theta=0.0020<0.02; HalfLife=346.62>25; DriftZ=0.07<=1.28
TINNARUBR.NS,2026-05-07,822.9500122070312,FILTERED_BUY,0.0018980729414739964,365.18469096433375,22.32901550292968,1420.7629530551858,23.12158009516979,2171.306782264373,670.2191238459988,0.11479879862801315,False,False,Theta=0.0019<0.02; HalfLife=365.18>25; DriftZ=0.11<=1.28
THERMAX.NS,2026-05-07,4182.2998046875,FILTERED_BUY,0.007260892749615125,95.46307932956132,934.8913110351564,3128.7264454123897,83.84171290749366,4520.216572850827,1737.236317973952,0.1899913666914938,False,False,Theta=0.0073<0.02; HalfLife=95.46>25; DriftZ=0.19<=1.28
TASTYBITE.NS,2026-05-07,8405.0,FILTERED_BUY,0.005030367277560648,137.7925591341851,-14.715224609375582,4954.303826239017,232.4135932747771,9588.524129400035,320.0835230779994,0.10754960793283316,False,False,Theta=0.0050<0.02; HalfLife=137.79>25; DriftZ=0.11<=1.28
SYRMA.NS,2026-05-07,1093.4000244140625,FILTERED_BUY,0.0016598076972285441,417.60692019763763,296.8634115600586,1594.925382988522,24.449324408447662,2443.6229824191632,746.2277835578808,0.08812240435208891,False,False,Theta=0.0017<0.02; HalfLife=417.61>25; DriftZ=0.09<=1.28
SURYAROSNI.NS,2026-05-07,269.6499938964844,FILTERED_BUY,0.001636986303636488,423.4288210109953,4.632783508300804,326.79777963069245,7.167667956303306,577.3339030779148,76.26165618347017,0.07357758330583315,False,False,Theta=0.0016<0.02; HalfLife=423.43>25; DriftZ=0.07<=1.28
SRF.NS,2026-05-07,2771.300048828125,FILTERED_SELL,0.12282845901535928,5.643213194372727,-76.42196166992198,-346.52828593331054,63.3760088327835,-90.79316112559209,-602.263410741029,0.5234905793312298,True,False,DriftZ=0.52<=1.28
PTL.NS,2026-05-07,40.560001373291016,FILTERED_SELL,0.10786633017667467,6.425982782807544,1.172201442718503,-1.3144834207082285,0.5740855268290631,1.1575175912094988,-3.786484432625956,0.4672292855130516,True,False,DriftZ=0.47<=1.28
SPANDANA.NS,2026-05-07,279.04998779296875,FILTERED_BUY,0.0017244954498811962,401.94201765374186,29.67133239746093,416.03506941158275,7.2751241950288525,663.7911848281918,168.27895399497365,0.09158366078962943,False,False,Theta=0.0017<0.02; HalfLife=401.94>25; DriftZ=0.09<=1.28
SOTL.NS,2026-05-07,420.1499938964844,FILTERED_BUY,0.0011477215715211472,603.9332166958176,42.30747512817385,1097.12424322728,9.867233522311361,1509.0245659282548,685.2239205263052,0.12269254153275344,False,False,Theta=0.0011<0.02; HalfLife=603.93>25; DriftZ=0.12<=1.28
SOLARA.NS,2026-05-07,514.8499755859375,FILTERED_SELL,0.12442828123349162,5.570656234166281,-42.98302551269535,-97.51549081211373,12.419514872574219,-47.723432605617724,-147.30754901860973,0.5463483073413504,True,False,DriftZ=0.55<=1.28
SHRIRAMPPS.NS,2026-05-07,91.5199966430664,FILTERED_BUY,0.002016997136295143,343.6530315720381,6.436696949005125,140.05297356554593,2.1816240770792845,208.75068588465876,71.35526124643309,0.12353349512844976,False,False,Theta=0.0020<0.02; HalfLife=343.65>25; DriftZ=0.12<=1.28
SHANTI.NS,2026-05-07,7.119999885559082,FILTERED_BUY,0.0040642307967572395,170.5481837087087,-1.8250001335144042,9.684373514576798,0.2016460419139602,14.157544696733815,5.21120233241978,0.23197455495762978,False,False,Theta=0.0041<0.02; HalfLife=170.55>25; DriftZ=0.23<=1.28
SGIL.NS,2026-05-07,561.75,FILTERED_SELL,0.19658221437817733,3.525991314893296,32.410049743652394,-16.306367344038012,13.725664595891576,27.47368420222379,-60.08641889029981,0.6977280466649038,True,False,DriftZ=0.70<=1.28
SBCL.NS,2026-05-07,621.5999755859375,FILTERED_BUY,0.0009466866517440493,732.1822688457509,137.60628662109377,2458.861047906232,18.90114845487808,3327.621543147418,1590.1005526650465,0.11626282408457679,False,False,Theta=0.0009<0.02; HalfLife=732.18>25; DriftZ=0.12<=1.28
SABEVENTS.NS,2026-05-07,9.3100004196167,FILTERED_SELL,0.0006765346442550272,1024.5553371818987,0.26285038709640496,-174.31799042347575,0.35797512283180416,-154.8544059593137,-193.7815748876378,0.32993909212796985,False,False,Theta=0.0007<0.02; HalfLife=1024.56>25; DriftZ=0.33<=1.28
RSYSTEMS.NS,2026-05-07,302.75,FILTERED_SELL,0.1496872575139553,4.630635847512426,-74.71480010986329,-117.77348807057425,11.675983670851469,-75.09430862929682,-160.45266751185167,0.5520166090227123,True,False,DriftZ=0.55<=1.28
RML.NS,2026-05-07,938.7000122070312,FILTERED_BUY,0.00019322511711677732,3587.2519623886974,135.34529876708984,15969.652590380963,22.912028878641088,18300.676650772297,13638.628529989628,0.13353622662972986,False,False,Theta=0.0002<0.02; HalfLife=3587.25>25; DriftZ=0.13<=1.28
ADANIENSOL.NS,2026-05-07,1387.0999755859375,FILTERED_BUY,0.003152845847515155,219.84810361287845,420.303974609375,1939.706858646606,32.47084291810841,2757.5258508052525,1121.8878664879594,0.14753060417066627,False,False,Theta=0.0032<0.02; HalfLife=219.85>25; DriftZ=0.15<=1.28
LIBAS.NS,2026-05-07,12.65999984741211,FILTERED_BUY,0.00398470130241229,173.952105303432,1.1817498397827144,12.793437549779098,0.27726175835927813,19.005089094498302,6.581786005059893,0.16687879141728398,False,False,Theta=0.0040<0.02; HalfLife=173.95>25; DriftZ=0.17<=1.28
KECL.NS,2026-05-07,129.11000061035156,FILTERED_BUY,0.0013953304758138707,496.762016292696,20.669050216674805,574.8692394801834,4.083191671355092,729.4573983293959,420.2810806309709,0.1893843042456431,False,False,Theta=0.0014<0.02; HalfLife=496.76>25; DriftZ=0.19<=1.28
BIGBLOC.NS,2026-05-07,55.72999954223633,FILTERED_SELL,0.19186472701908758,3.6126868723034633,-0.9331504058837865,-8.148711329195462,1.8811927813199818,-2.075047767948379,-14.222374890442545,0.7359222513438448,True,False,DriftZ=0.74<=1.28
ENIL.NS,2026-05-07,121.37999725341797,FILTERED_BUY,0.002166555691801147,319.93046990807034,-7.989953804016125,116.66494131420917,2.236863605921155,184.62747680417408,48.70240582424428,0.12073680836612685,False,False,Theta=0.0022<0.02; HalfLife=319.93>25; DriftZ=0.12<=1.28
DISHTV.NS,2026-05-07,3.740000009536743,FILTERED_BUY,0.0016398727750235795,422.6835100363067,-0.36464999020099675,9.084931823531141,0.14048592367860363,13.991103389623387,4.178760257438895,0.11030366278651851,False,False,Theta=0.0016<0.02; HalfLife=422.68>25; DriftZ=0.11<=1.28
DELTACORP.NS,2026-05-07,79.81999969482422,FILTERED_BUY,0.0045592767683941835,152.03007313900747,7.432310009002691,69.9641393112196,2.893154479182073,130.55939785431198,9.36888076812722,0.09854292906730273,False,False,Theta=0.0046<0.02; HalfLife=152.03>25; DriftZ=0.10<=1.28
DCMNVL.NS,2026-05-07,157.9199981689453,FILTERED_BUY,0.003273212898551923,211.7635491619244,13.737747650146474,159.12981944024475,5.378534280703352,292.0808817744778,26.17875710601166,0.08848120694106712,False,False,Theta=0.0033<0.02; HalfLife=211.76>25; DriftZ=0.09<=1.28
CROMPTON.NS,2026-05-07,290.75,FILTERED_BUY,0.001841091495652364,376.4870905095016,13.81143981933593,624.2567968538939,5.9815960255254454,821.4057116937573,427.10788201403045,0.18789061491294362,False,False,Theta=0.0018<0.02; HalfLife=376.49>25; DriftZ=0.19<=1.28
COFORGE.NS,2026-05-07,1285.300048828125,FILTERED_SELL,0.09451553193215448,7.333685441854181,-302.5941406249999,-471.3190154301242,35.19527266960842,-309.4186829711457,-633.2193478891027,0.45310407002935477,True,False,DriftZ=0.45<=1.28
CIGNITITEC.NS,2026-05-07,1279.199951171875,FILTERED_SELL,0.0910432041438393,7.61338737007587,-260.7125469970704,-424.3372925483904,34.059343433781,-264.7025181895376,-583.9720669072432,0.43738133535003526,True,False,DriftZ=0.44<=1.28
CCL.NS,2026-05-07,1207.800048828125,FILTERED_SELL,0.14494552680656916,4.782121917325225,244.00287017822268,155.67429483945537,20.516202146326286,231.88387319794438,79.46471648096636,0.6240351792811657,True,False,DriftZ=0.62<=1.28
CARBORUNIV.NS,2026-05-07,1003.4000244140625,FILTERED_BUY,0.0002519192582324434,2751.4656299931835,123.51562408447262,16638.893427770243,19.107675940707736,18341.413263891773,14936.373591648715,0.21774190323530132,False,False,Theta=0.0003<0.02; HalfLife=2751.47>25; DriftZ=0.22<=1.28
BLAL.NS,2026-05-07,206.97999572753906,FILTERED_BUY,0.0015933889747150318,435.0144199308964,6.844745788574215,234.70405843474933,3.893053490294144,372.6295259972744,96.77859087222424,0.09326060313883044,False,False,Theta=0.0016<0.02; HalfLife=435.01>25; DriftZ=0.09<=1.28
BHARATWIRE.NS,2026-05-07,237.11000061035156,FILTERED_BUY,0.0009551217202604374,725.716069330872,55.9317007446289,1273.3078921429349,7.318874864129901,1608.2193139248493,938.3964703610205,0.1588690152131302,False,False,Theta=0.0010<0.02; HalfLife=725.72>25; DriftZ=0.16<=1.28
FIVESTAR.NS,2026-05-07,473.25,FILTERED_BUY,0.0008617350732555571,804.3622710414908,-51.5512519836426,1863.5937067882478,12.785266564994881,2479.532985838355,1247.6544277381404,0.12908198456032477,False,False,Theta=0.0009<0.02; HalfLife=804.36>25; DriftZ=0.13<=1.28
BERGEPAINT.NS,2026-05-07,488.25,FILTERED_BUY,0.0011385193156189658,608.8145989715684,-23.87515548706051,529.5920047077506,7.31262551557449,836.0832895700956,223.10071984540548,0.08617056228306867,False,False,Theta=0.0011<0.02; HalfLife=608.81>25; DriftZ=0.09<=1.28
AWFIS.NS,2026-05-07,366.3999938964844,FILTERED_BUY,0.0012222710287054304,567.0977747824824,-111.01680488586425,845.2334299363756,13.50923889724863,1391.6981395636908,298.76872030906054,0.0865183425288328,False,False,Theta=0.0012<0.02; HalfLife=567.10>25; DriftZ=0.09<=1.28
AVADHSUGAR.NS,2026-05-07,523.2999877929688,FILTERED_BUY,0.010013106646310386,69.22398862248761,110.50821716308593,326.7065451514418,13.255434784046477,514.0439735488799,139.36911675400376,0.1633154211966593,False,False,Theta=0.0100<0.02; HalfLife=69.22>25; DriftZ=0.16<=1.28
ASTRON.NS,2026-05-07,4.289999961853027,FILTERED_BUY,0.0011878679361255911,583.5220898551639,-4.249400033950806,51.527642264338645,0.12484644261314985,56.65043859800504,46.40484593067225,0.5306980217558902,False,False,Theta=0.0012<0.02; HalfLife=583.52>25; DriftZ=0.53<=1.28
ASHAPURMIN.NS,2026-05-07,664.25,FILTERED_SELL,0.11283124178552387,6.143220349178815,32.70158020019528,-64.40292275371021,21.041789535756404,24.186727328062076,-152.99257283548252,0.5206981864654113,True,False,DriftZ=0.52<=1.28
APTUS.NS,2026-05-07,275.04998779296875,FILTERED_BUY,0.0007608550730152347,911.0107892335317,-10.263910369873031,540.5343507625151,6.06886766109605,851.6857044830335,229.3829970419967,0.06905368094892042,False,False,Theta=0.0008<0.02; HalfLife=911.01>25; DriftZ=0.07<=1.28
