Symbol,Date,Close,Signal,Theta,Half_Life,Deviation_Xt,Mu_OU,Sigma_OU,Upper_Band,Lower_Band,Drift_Z,Regime_Valid,Drift_Dominant,Filter_Reason
AAREYDRUGS.NS,2026-04-01,53.279998779296875,FILTERED_BUY,0.12676869158556023,5.467810481360993,-19.157851486206056,-5.334631348321319,3.2365964764992334,7.521122576417928,-18.190385273060567,0.5414179812350884,True,False,DriftZ=0.54<=1.28
MEDICAMEQ.NS,2026-04-01,231.63999938964844,FILTERED_SELL,0.0028771752934769537,240.91239144567518,-125.80591316223143,-609.0300231029987,9.4161365423652,-360.77126175570646,-857.2887844502909,0.14765296404513886,False,False,Theta=0.0029<0.02; HalfLife=240.91>25; DriftZ=0.15<=1.28
PNB.NS,2026-04-01,104.0,FILTERED_SELL,0.0069181876367800915,100.19201804745418,-11.710453147888188,-60.591360289385925,2.59184882016193,-16.522837244796683,-104.65988333397516,0.13047338441590808,False,False,Theta=0.0069<0.02; HalfLife=100.19>25; DriftZ=0.13<=1.28
PAKKA.NS,2026-04-01,86.18000030517578,FILTERED_SELL,0.21349194921389075,3.2467134386669696,-50.050900039672854,-58.442552999018474,2.7191854434270204,-50.11987536372275,-66.7652306343142,0.6588555229831253,True,False,DriftZ=0.66<=1.28
ORICONENT.NS,2026-04-01,64.25,FILTERED_BUY,0.23960180711242857,2.8929129914061926,7.864431152343748,11.759283276067197,1.3191364796166793,15.57046523313549,7.948101318998906,0.7074428019388836,True,False,DriftZ=0.71<=1.28
NLCINDIA.NS,2026-04-01,283.20001220703125,SELL,0.41658085332052447,1.6638959160867288,33.40462150573731,13.024029130223138,6.407100608865144,27.062728980758095,-1.0146707203118197,1.3251180340795814,True,True,
NITCO.NS,2026-04-01,87.11000061035156,FILTERED_SELL,0.12241626804901397,5.662214602739055,-18.122899322509767,-31.695008542977952,3.1741715186977704,-18.865033235919583,-44.52498385003632,0.5234269637089269,True,False,DriftZ=0.52<=1.28
NINSYS.NS,2026-04-01,395.3999938964844,FILTERED_SELL,0.09138633974313363,7.584800775566955,-10.474006042480482,-80.06155556905406,13.68676349817171,-16.032791447952647,-144.09031969015547,0.46463515233364555,True,False,DriftZ=0.46<=1.28
NAVINFLUOR.NS,2026-04-01,6034.0,FILTERED_BUY,0.2824299706375167,2.4542267203276436,554.427001953125,954.5716030289567,147.88728133189164,1348.1130087764259,561.0301972814875,0.7641821995427875,True,False,DriftZ=0.76<=1.28
MEP.NS,2026-04-01,0.8500000238418579,FILTERED_SELL,0.029420425474726116,23.560066497182362,-0.9307999747991562,-1.154876469122515,0.009128501228184652,-1.0796120001909364,-1.2301409380540937,0.7221805241723429,True,False,DriftZ=0.72<=1.28
MAWANASUG.NS,2026-04-01,91.69000244140625,FILTERED_SELL,0.10868672439115715,6.377477879132223,3.880776977539057,-8.21237484351482,2.0805043584909657,0.7123611454359224,-17.13711083246556,0.6317530908460293,True,False,DriftZ=0.63<=1.28
PRESTIGE.NS,2026-04-01,1144.9000244140625,FILTERED_SELL,0.009084299543847525,76.3016650006207,-438.4865240478516,-1040.0022995209542,32.25474417015791,-561.413118879597,-1518.5914801623114,0.16941227175514267,False,False,Theta=0.0091<0.02; HalfLife=76.30>25; DriftZ=0.17<=1.28
MARUTI.NS,2026-04-01,12509.0,FILTERED_SELL,0.013389466044978829,51.768097266274616,-2223.837553710937,-5973.490811850173,256.149657415295,-2842.8939318554303,-9104.087691844914,0.1960020383665822,False,False,Theta=0.0134<0.02; HalfLife=51.77>25; DriftZ=0.20<=1.28
MANALIPETC.NS,2026-04-01,41.7599983215332,FILTERED_SELL,0.008675613695292891,79.896040200133,-21.803591060638425,-49.13054178896578,1.3799771207003557,-28.177996836226566,-70.08308674170499,0.17179854972446987,False,False,Theta=0.0087<0.02; HalfLife=79.90>25; DriftZ=0.17<=1.28
LTIM.NS,2026-04-01,4107.0,FILTERED_SELL,0.010512179291610578,65.9375341051425,-1289.7849084472655,-3580.000520107334,124.20823956273246,-1866.7572892459639,-5293.243750968704,0.19382898599135895,False,False,Theta=0.0105<0.02; HalfLife=65.94>25; DriftZ=0.19<=1.28
LLOYDSME.NS,2026-04-01,1347.5999755859375,FILTERED_SELL,0.1661471860810589,4.1718863671983994,27.956973876953043,-117.82296338861936,38.71239841529241,16.490201092281993,-252.1361278695207,0.6256632850260255,True,False,DriftZ=0.63<=1.28
LIKHITHA.NS,2026-04-01,170.9199981689453,FILTERED_SELL,0.21608219626510752,3.207794036439425,-45.25235176086426,-74.24022782683404,5.898960774216586,-56.293676166427176,-92.18677948724091,1.0618419354089295,True,False,DriftZ=1.06<=1.28
LATENTVIEW.NS,2026-04-01,261.20001220703125,FILTERED_SELL,0.01196109920736183,57.950123859296,-155.1104895019531,-321.769352180955,11.090617915713553,-178.35745033888608,-465.18125402302394,0.17973959660672165,False,False,Theta=0.0120<0.02; HalfLife=57.95>25; DriftZ=0.18<=1.28
KRITINUT.NS,2026-04-01,57.349998474121094,FILTERED_BUY,0.2660751080443977,2.605080894843743,-29.787228641510012,-23.6566676561107,2.1902445367967855,-17.651771797073405,-29.661563515147993,0.7447523092323256,True,False,DriftZ=0.74<=1.28
KAMDHENU.NS,2026-04-01,18.790000915527344,FILTERED_BUY,0.36948589316687397,1.875977387442214,-7.34842456817627,-5.7312899970552635,0.6774671895049099,-4.155115364352734,-7.307464629757793,0.8819739474295889,True,False,DriftZ=0.88<=1.28
PONNIERODE.NS,2026-04-01,282.8500061035156,FILTERED_SELL,0.20882683253713408,3.319243854530467,-5.253993682861335,-27.118060693133415,5.940200915431853,-8.734781560163224,-45.5013398261036,0.7686278503263103,True,False,DriftZ=0.77<=1.28
RAJTV.NS,2026-04-01,34.7400016784668,FILTERED_BUY,0.29044058698650016,2.3865369084664576,-6.741348361968996,-3.8489403652632967,0.9577885936608012,-1.3355728035836463,-6.362307926942947,0.8770961378405808,True,False,DriftZ=0.88<=1.28
ADL.NS,2026-04-01,59.0,FILTERED_BUY,0.2615266073606198,2.6503887598869156,-22.250700092315668,-14.40534143602951,2.554088927417358,-7.342278563970298,-21.468404308088722,0.8033275626704577,True,False,DriftZ=0.80<=1.28
SUPERSPIN.NS,2026-04-01,4.21999979019165,FILTERED_SELL,0.002618696221596686,264.691709883522,-4.396450226306916,-19.54449787037097,0.24082429145525444,-12.88911984805329,-26.199875892688652,0.1647181639790998,False,False,Theta=0.0026<0.02; HalfLife=264.69>25; DriftZ=0.16<=1.28
VLSFINANCE.NS,2026-04-01,216.39999389648438,FILTERED_SELL,0.016578021548943386,41.81121242444782,-31.995224075317395,-80.4702875015737,3.9938523708765454,-36.60301267974863,-124.33756232339876,0.20121440940755173,False,False,Theta=0.0166<0.02; HalfLife=41.81>25; DriftZ=0.20<=1.28
UNIVPHOTO.NS,2026-04-01,403.0,FILTERED_BUY,0.008259988376376166,83.91624164295057,126.51469978332517,360.13526200455146,12.821697048342108,559.6480745217772,160.62244948732572,0.15050294209527526,False,False,Theta=0.0083<0.02; HalfLife=83.92>25; DriftZ=0.15<=1.28
UMESLTD.NS,2026-04-01,6.679999828338623,FILTERED_BUY,0.00035417692725481204,1957.0647527281235,1.3041998362541198,86.99502578472165,0.23213418622727802,104.4389410469023,69.551110522541,0.13074211050775753,False,False,Theta=0.0004<0.02; HalfLife=1957.06>25; DriftZ=0.13<=1.28
UGARSUGAR.NS,2026-04-01,39.130001068115234,FILTERED_SELL,0.1421427047000059,4.876417555321195,-3.040248985290525,-5.794992780447541,0.7109145673931706,-3.1283175693338388,-8.461667991561242,0.5507929528508616,True,False,DriftZ=0.55<=1.28
UCAL.NS,2026-04-01,86.75,FILTERED_BUY,0.21141292034836537,3.2786415296557094,-39.83634994506836,-27.988134335189486,3.765845313569157,-16.405383552838767,-39.5708851175402,0.6651536785050643,True,False,DriftZ=0.67<=1.28
TOUCHWOOD.NS,2026-04-01,65.88999938964844,FILTERED_SELL,0.013062250706994374,53.06491171454774,-32.8963507270813,-62.716721989362895,2.218320957920392,-35.267478944932186,-90.16596503379361,0.1755927897686801,False,False,Theta=0.0131<0.02; HalfLife=53.06>25; DriftZ=0.18<=1.28
SVPGLOB.NS,2026-04-01,2.3499999046325684,FILTERED_SELL,0.01287028247070338,53.85640774689725,-1.2384000992774964,-2.3298327580484792,0.07672132460859621,-1.373438299964653,-3.286227216132305,0.18309181557795298,False,False,Theta=0.0129<0.02; HalfLife=53.86>25; DriftZ=0.18<=1.28
SURAJLTD.NS,2026-04-01,258.3900146484375,FILTERED_SELL,0.14235033233977692,4.8693049687124565,-34.8869347381592,-80.21837912701449,8.868864184948539,-46.975107405110194,-113.46165084891878,0.72759555672834,True,False,DriftZ=0.73<=1.28
