Symbol,Date,Close,Signal,Theta,Half_Life,Deviation_Xt,Prev_Xt,Upper_Band,Lower_Band,Regime_Valid
BLAL.NS,2025-12-26,211.1300048828125,SELL,0.4153667461689738,1.6687594444018605,2.5263047790527366,-0.931343994140633,1.7092057644430119,-7.556394580940611,True
MAWANASUG.NS,2025-12-26,89.7300033569336,SELL,0.2273222846988134,3.049182712017514,-1.2959210205078193,-7.33994403839111,-2.099346430642668,-10.409167804659518,True
VIPCLOTHNG.NS,2025-12-26,31.3799991607666,BUY,0.4071296719299849,1.7025218949876675,-4.981901016235355,-4.215298662185667,-1.952713729141267,-4.968824485914098,True
VARROC.NS,2025-12-26,606.0999755859375,BUY,0.11844797818639535,5.8519123008514,52.78951461791996,63.78980926513668,133.1211607514716,57.091712359933666,True
TVTODAY.NS,2025-12-26,141.77999877929688,SELL,0.3618766582089549,1.9154238463197812,-12.288619232177723,-18.16180580139161,-13.71634224689207,-21.11959625808182,True
STARHEALTH.NS,2025-12-26,443.5,BUY,0.0605982907285484,11.438394915541693,5.754749908447252,15.636249847412103,92.8319171158347,6.765986417811682,True
SANSTAR.NS,2025-12-26,87.52999877929688,BUY,0.6294464678514771,1.1012011600063485,-4.34625114440918,-2.3925499343872048,2.556020882077479,-4.2439155997248825,True
RAMCOSYS.NS,2025-12-26,575.2999877929688,BUY,0.1953268028056689,3.5486536952614696,115.2844885253906,129.28475067138675,228.44369371488125,116.9588099729728,True
NMDC.NS,2025-12-26,82.61000061035156,SELL,0.140703628595045,4.926292146699868,11.450462341308594,10.164653739929193,11.215387368205246,3.2148914770085053,True
NDTV.NS,2025-12-26,101.33000183105469,SELL,0.06811121055122674,10.176697418094284,-21.38027778625488,-29.648128089904787,-23.467724228463727,-51.911825915570105,True
MTEDUCARE.NS,2025-12-26,1.7000000476837158,BUY,0.1952179559154979,3.550632303823431,-0.4323999363183977,-0.34525002181529985,-0.057075992304076145,-0.39410664171394705,True
MCL.NS,2025-12-26,59.04999923706055,SELL,0.09002472437105671,7.699520164071668,8.059249362945557,3.066451339721681,5.209402152930182,-8.913337327920974,True
KHANDSE.NS,2025-12-26,20.68000030517578,BUY,0.5559476101942189,1.2467850708411106,-2.5962496948242197,-1.5144997692108149,-0.7242854510521525,-2.447876169319068,True
CEIGALL.NS,2025-12-26,259.9100036621094,SELL,0.12653147155982666,5.478061481583348,4.3376038360595714,-5.559599838256844,2.2555754745623204,-29.62134006257105,True
IMAGICAA.NS,2025-12-26,45.380001068115234,BUY,0.2509026231120648,2.762614324085219,-14.74839868545532,-13.025848999023438,-9.324689734987853,-14.413243779130646,True
HFCL.NS,2025-12-26,61.470001220703125,BUY,0.09812004065844813,7.064277347507044,-16.133487720489498,-13.460494785308839,-2.656181911969129,-15.899949880021051,True
HDFCLIFE.NS,2025-12-26,748.4500122070312,BUY,0.22699092589141312,3.053633874737045,-0.25679656982424603,7.752699890136682,51.00849708643473,1.990834112369388,True
FELDVR.NS,2025-12-26,3.2100000381469727,SELL,0.7258526237470491,0.9549420335242857,-0.2976499676704405,-0.4827500343322755,-0.34428535154867,-0.6417872627827644,True
ERIS.NS,2025-12-26,1525.9000244140625,BUY,0.1859105720864389,3.728390337251328,-69.72572631835942,-49.344250488281205,133.66342470285733,-69.59691615514149,True
DCMSRIND.NS,2025-12-26,54.52000045776367,BUY,0.8215851324049069,0.8436705500390399,-113.69298597335816,3.862906951904307,21.00328621691672,-27.18597841488613,True
CYBERMEDIA.NS,2025-12-26,17.5,SELL,0.32780387642766606,2.1145179493107573,1.0710287761688235,0.6407282400131216,0.9494233915350359,-0.7165777724547124,True
CUBEXTUB.NS,2025-12-26,112.88999938964844,SELL,0.10720483462647049,6.465633597356409,22.096399192810054,3.4359025573730406,16.91574130041647,-11.01067858575697,True
COFORGE.NS,2025-12-26,1673.300048828125,BUY,0.11245241471596512,6.163915486481213,-31.180963134765534,33.31320495605473,265.10824721742205,-0.5112331694657541,True
CIGNITITEC.NS,2025-12-26,1647.800048828125,BUY,0.1213728288640086,5.710892520570461,37.90780090332032,95.33722778320316,305.20833150856316,59.89218443048206,True
VRLLOG.NS,2025-12-26,264.5,BUY,0.2541065786081937,2.727781328435055,-5.196696777343732,-1.9883179473877135,14.73584005452284,-4.642827471170538,True
