Symbol,Date,Close,Signal,Theta,Half_Life,Deviation_Xt,Prev_Xt,Upper_Band,Lower_Band,Regime_Valid
AARTECH.NS,2026-04-15,52.720001220703125,SELL,0.15873736119148982,4.366629099521066,-0.9576902770996085,-9.80125144958496,-3.6413721100542302,-18.446434573569892,True
ORIENTBELL.NS,2026-04-15,319.0,SELL,0.1769565312012197,3.9170477396607537,29.657311401367167,-6.144465942382794,27.889244589584713,-37.90403624572675,True
RIIL.NS,2026-04-15,810.5,SELL,0.1769361476252435,3.917498995332788,-18.37249847412113,-107.20774841308594,-63.585763675216825,-230.90103772751195,True
RAMKY.NS,2026-04-15,510.8999938964844,SELL,0.38041286714738876,1.8220918386848084,-39.805004882812455,-67.21424880981442,-53.1368442216872,-114.06245971020184,True
QUICKHEAL.NS,2026-04-15,169.02999877929688,SELL,0.11763433699133362,5.892388211539042,-100.46800170898439,-107.1616017150879,-101.38613272852623,-149.82052467515635,True
PROTEAN.NS,2026-04-15,568.25,SELL,0.14881258178212275,4.657853336452328,-180.94921875,-217.41569702148433,-184.63488428961094,-303.1134325312703,True
PLAZACABLE.NS,2026-04-15,40.290000915527344,SELL,0.12399558480415714,5.590095660702159,-6.35074912071228,-9.037749261856078,-6.681056151414331,-17.827000747076944,True
PILANIINVS.NS,2026-04-15,4856.89990234375,SELL,0.3108433383295439,2.229892344757596,-183.7176098632808,-503.30510986328136,-248.9995723587191,-776.5951528719376,True
PENINLAND.NS,2026-04-15,20.219999313354492,SELL,0.11378758605773763,6.091588762663718,-8.412250766754152,-10.658449850082398,-8.571736623507947,-15.218456753223977,True
PANACEABIO.NS,2026-04-15,346.95001220703125,SELL,0.40368862887527446,1.7170341966062743,-40.195487213134754,-57.38599319458007,-42.23596132407329,-86.3831816313569,True
OSWALGREEN.NS,2026-04-15,29.25,SELL,0.12651278592942447,5.478870577924191,-6.126650047302249,-8.17589912414551,-6.626388906284721,-15.18735432997044,True
OSWALAGRO.NS,2026-04-15,51.79999923706055,SELL,0.13418819224632983,5.165485643383079,-12.982150726318366,-15.440749034881591,-13.32774543392758,-32.09189971779582,True
