Symbol,Date,Close,Signal,Theta,Half_Life,Deviation_Xt,Prev_Xt,Upper_Band,Lower_Band,Regime_Valid
ABBOTINDIA.NS,2026-05-06,26300.0,SELL,0.47050928940153497,1.473184900220769,-2749.4751562499987,-3782.711152343749,-2868.135173671669,-4285.902365218112,True
KNRCON.NS,2026-05-06,132.3699951171875,SELL,0.08792607170670173,7.883295217283243,-31.85687030792235,-39.30946910858154,-32.31635358361788,-67.4596839011373,True
SIGNPOST.NS,2026-05-06,297.04998779296875,SELL,0.12665863570374153,5.472561556570355,56.6951934814453,38.918425903320326,52.74152957998942,-13.790948752513227,True
RATEGAIN.NS,2026-05-06,637.8499755859375,SELL,0.08460457597943394,8.192785940188845,44.76247528076169,12.647523956298869,39.950768705295594,-128.32801259632524,True
POCL.NS,2026-05-06,1389.199951171875,SELL,0.07897939853889503,8.77630361060031,156.57624053955078,154.2857327270508,146.7171220583752,-187.11176664983918,True
PANAMAPET.NS,2026-05-06,293.8500061035156,SELL,0.16329147873197847,4.244846001411105,0.7900257873534997,-13.260139465332031,-3.8778573092785074,-54.105142282890284,True
OIL.NS,2026-05-06,450.25,BUY,0.4105162709762265,1.6884767537023795,13.261874999999975,39.5599981689453,60.66761934180083,22.56566180367946,True
NOCIL.NS,2026-05-06,187.6199951171875,FILTERED_BUY,0.004309600613975222,160.83791577163782,21.76183677673339,22.098809890747077,278.1971370755131,94.73901209959344,False
LUPIN.NS,2026-05-06,2442.89990234375,SELL,0.2717264616625099,2.5509005502042306,343.7750415039063,246.81871520996083,326.0898954123246,183.21480955217436,True
LINC.NS,2026-05-06,108.29000091552734,SELL,0.2059991165069877,3.3648065696263942,-9.056895866394044,-17.87637969970703,-9.534370255387005,-29.064150178592307,True
LAGNAM.NS,2026-05-06,83.61000061035156,FILTERED_BUY,0.0004599270171660233,1507.0808078007183,5.225200462341306,6.356999549865719,826.4587994642557,525.5366860022823,False
HCG.NS,2026-05-06,620.5999755859375,SELL,0.13063419038795446,5.306016583418572,-21.34527435302732,-23.22402435302729,-22.59977735899308,-118.60936252310738,True
AFSL.NS,2026-05-06,205.67999267578125,SELL,0.3183134738748379,2.1775615468683975,-1.6976576232910077,-6.519898529052739,-3.155889351367575,-15.146214298357306,True
GESHIP.NS,2026-05-06,1575.0999755859375,SELL,0.2594957276708988,2.6711313776965833,422.5308981323242,374.2344073486329,417.4348268814711,236.17714451408875,True
GARFIBRES.NS,2026-05-06,666.7000122070312,SELL,0.12556116144545543,5.520394782753367,-48.69796173095699,-92.11623535156252,-63.81737981701314,-168.19505694519145,True
FSL.NS,2026-05-06,243.41000366210938,SELL,0.12597558984947688,5.50223405493206,-66.80524612426757,-92.11119491577148,-73.10836572785382,-135.88624552854185,True
ESSENTIA.NS,2026-05-06,1.4500000476837158,SELL,0.1275136013453712,5.435868591637944,-0.1753999489545821,-0.3289500445127487,-0.1793291785894228,-0.6373418881736003,True
DCAL.NS,2026-05-06,189.0399932861328,SELL,0.10597211824616852,6.540844818726707,-43.95195594787597,-47.18099990844726,-45.766862767843364,-103.9580420117991,True
CIGNITITEC.NS,2026-05-06,1274.699951171875,SELL,0.11696028734395243,5.926346423222816,-267.6515472412109,-384.0695477294921,-284.1145475918656,-569.9600834978132,True
CAMLINFINE.NS,2026-05-06,136.42999267578125,SELL,0.05401104527309728,12.83343392180561,-37.43630741119384,-44.01290073394776,-39.59648858265542,-98.49132556905909,True
BIOFILCHEM.NS,2026-05-06,34.09000015258789,SELL,0.17034105170520764,4.0691728366190105,-3.2472498989105247,-4.021748991012572,-3.8236306648618035,-11.522766610882151,True
ASHAPURMIN.NS,2026-05-06,660.1500244140625,SELL,0.14527071703639607,4.771417080472484,29.275379333496062,15.129353942871148,11.647234790401924,-145.6931295220769,True
SOLARA.NS,2026-05-06,512.7999877929688,SELL,0.1432483389552747,4.838779881254757,-45.92176330566406,-58.419488830566365,-52.900191630128624,-145.26127654675582,True
