Symbol,Date,Close,Signal,Theta,Half_Life,Deviation_Xt,Upper_Band,Lower_Band,Regime_Valid
AEGISLOG.NS,2025-12-10,742.0999755859375,BUY,0.38759504464319605,1.7883282826745834,-24.583917236328148,61.03962605360802,-22.76798017110374,True
AGRITECH.NS,2025-12-10,130.6300048828125,SELL,0.5151231241813883,1.3455951558405872,-12.897695274353026,-13.208954452709458,-28.87867958600703,True
VENKEYS.NS,2025-12-10,1570.0,SELL,0.09477068064833985,7.3139411452785374,28.14416015625011,26.764252492302262,-275.7738884722035,True
TTKHLTCARE.NS,2025-12-10,1065.0999755859375,BUY,0.22745899232248745,3.0473500892732925,-128.06082519531242,-38.259613016832894,-125.43594624451651,True
TOTAL.NS,2025-12-10,81.87999725341797,SELL,0.1517248617070192,4.568448260631227,7.775647354125979,5.847172129232344,-12.054243236402339,True
TIPSFILMS.NS,2025-12-10,431.95001220703125,SELL,0.6162945761394935,1.1247010884013635,-60.32573776245118,-65.69730589640128,-114.89602251649029,True
TERASOFT.NS,2025-12-10,472.6499938964844,BUY,0.17901255551341222,3.8720590216255104,145.48090293884275,256.72858302672086,146.07400785461832,True
TATACONSUM.NS,2025-12-10,1141.199951171875,BUY,0.31296227857043446,2.2147946510555183,45.13727569580078,115.99207383999517,49.53002644205664,True
STEELCAS.NS,2025-12-10,209.8699951171875,BUY,0.2960781326994797,2.3410954880058368,1.8160059356689544,30.660066686619494,4.0431990024177775,True
SCPL.NS,2025-12-10,268.8500061035156,SELL,0.17445250857706504,3.973271500729065,-12.181643905639646,-28.346570509485108,-88.74436011905523,True
PFOCUS.NS,2025-12-10,212.72000122070312,SELL,0.12254348715818941,5.65633634748106,71.97340110778808,67.62853490578142,24.808472499015945,True
PATELENG.NS,2025-12-10,30.459999084472656,BUY,0.12942331169453683,5.35565943634561,-8.893671970367429,-2.9299331490582947,-8.782564023898274,True
PARAS.NS,2025-12-10,664.4000244140625,BUY,0.1446337289122944,4.7924311000808695,-15.273816528320367,94.23387745818587,-9.87892197488744,True
PANACHE.NS,2025-12-10,342.04998779296875,BUY,0.06323543259184532,10.961373270487151,57.73543754577639,207.93662312994553,65.67280521626463,True
ORTINGLOBE.NS,2025-12-10,14.420000076293945,FILTERED_BUY,0.0048693785130889565,142.34818235977264,2.3568001031875614,18.959877116805533,2.708019059786036,False
MOTOGENFIN.NS,2025-12-10,24.200000762939453,BUY,1.0791183671158615,0.6423272939117014,-2.2724491882324216,-0.03102109708777312,-2.078620996200912,True
MAGNUM.NS,2025-12-10,24.530000686645508,SELL,0.4693667072789113,1.4767710828455867,-1.1761492919921892,-1.5375772037596909,-4.616396153452553,True
HONDAPOWER.NS,2025-12-10,2369.60009765625,FILTERED_SELL,0.011733757932437658,59.072906101442456,-144.46403686523445,-171.8103986814773,-960.0202292304999,False
HIKAL.NS,2025-12-10,249.0,SELL,0.18270531640860183,3.7937986380746156,-70.21196632385255,-76.55780924235158,-110.2914539668901,True
GOLDENTOBC.NS,2025-12-10,32.599998474121094,BUY,1.409355264453823,0.4918186336988391,-2.7519515991210923,-1.428839879808715,-2.6783526809448217,True
GODIGIT.NS,2025-12-10,340.04998779296875,BUY,0.13249413229351673,5.231531152069462,4.698987274169895,38.314136046368716,4.773885901938481,True
DOLPHIN.NS,2025-12-10,325.6499938964844,BUY,0.22272696402030237,3.1120936955651333,-49.523955841064435,27.4491615421694,-43.958033561954174,True
CCHHL.NS,2025-12-10,15.3100004196167,BUY,0.1700898190119999,4.075183244865723,-1.5876996278762832,0.07117332801437048,-1.5455744873812367,True
BALUFORGE.NS,2025-12-10,649.6500244140625,SELL,0.6078140069510645,1.1403935622295573,29.006474914550836,27.173274214627167,-16.334921838919303,True
ARVEE.NS,2025-12-10,211.8000030517578,SELL,0.11252062392623154,6.160178964297001,49.225203285217276,45.19225938702529,-19.09641547970608,True
AMJLAND.NS,2025-12-10,50.81999969482422,BUY,0.2867522059361399,2.4172339958016225,-3.9857253646850594,0.44689604909163605,-3.9250757557581224,True
AMDIND.NS,2025-12-10,51.04999923706055,BUY,0.34432969003473485,2.013033440392616,-0.09895090103149329,9.566603033875591,0.5746826514624264,True
ZODIAC.NS,2025-12-10,307.6499938964844,FILTERED_SELL,0.004786080063313896,144.82565510615552,-105.43015777587891,-106.19708817495527,-370.08568698520514,False
