Symbol,Date,Close,Signal,Theta,Half_Life,Deviation_Xt,Prev_Xt,Upper_Band,Lower_Band,Regime_Valid
ACCELYA.NS,2026-02-06,1274.199951171875,BUY,0.5782493907022098,1.198699370384475,-84.42930419921868,-38.50965332031251,-6.3605011407560745,-67.34601980182104,True
LIBAS.NS,2026-02-06,11.5600004196167,SELL,0.13473219589141366,5.144629136146357,-0.6761996030807502,-1.2617002487182614,-0.694633516408712,-2.3815662410490153,True
WINDLAS.NS,2026-02-06,854.0499877929688,SELL,0.12425949839340922,5.57822290868599,-46.522996826171834,-64.69824005126952,-48.12144864178059,-188.4844479222209,True
VCL.NS,2026-02-06,1.8899999856948853,BUY,0.08126331471232955,8.529644440590099,0.6242499873042107,0.6698999491333961,1.4145091963236882,0.633083667980173,True
UYFINCORP.NS,2026-02-06,14.829999923706055,SELL,0.07974125852172242,8.69245348530741,-0.9653500461578375,-1.626550388336181,-1.0674244448291248,-3.5937811244196975,True
TCS.NS,2026-02-06,2941.60009765625,BUY,0.14407422028496872,4.811042386271109,-250.67121826171888,-202.8020263671874,116.15466171722267,-221.67528692135363,True
TATATECH.NS,2026-02-06,617.6500244140625,BUY,0.34849606877080147,1.9889670004163336,-71.49510833740237,-46.78083984374996,-13.466065986507434,-57.25518474837294,True
SHIVALIK.NS,2026-02-06,285.3500061035156,BUY,0.2133419982773119,3.2489954446707685,-181.66896560668943,-172.73631744384767,-137.8831597193729,-178.2709807538259,True
SBCL.NS,2026-02-06,485.5,SELL,0.24964896934306505,2.7764872508142804,-0.27008026123047557,-31.986388244628927,-13.326190569705993,-79.40570875493,True
SADBHIN.NS,2026-02-06,3.8299999237060547,SELL,0.2860448835566738,2.423211252518742,-0.3401500737667087,-0.676599997282028,-0.4059603868653291,-1.0013613256350542,True
MUKKA.NS,2026-02-06,24.639999389648438,SELL,0.17810484969381243,3.89179284983853,-2.5296005821228036,-3.7812496757507326,-2.6443294716235695,-6.288088957447346,True
MUFTI.NS,2026-02-06,102.56999969482422,SELL,0.125016815588194,5.5444315814536145,-21.5806995010376,-26.059050216674805,-22.795804148531474,-38.357346672572724,True
MARALOVER.NS,2026-02-06,44.34000015258789,SELL,0.18776336302377009,3.6915997316909777,-12.786049842834473,-14.336600131988526,-12.889751093252578,-20.017918983625215,True
LEXUS.NS,2026-02-06,26.969999313354492,SELL,0.8364637900451756,0.8286637016558839,-2.9244506263732895,-5.920049715042115,-3.651797622224358,-5.53106019904424,True
AMBICAAGAR.NS,2026-02-06,23.440000534057617,BUY,0.26764271414194135,2.58982271489125,-3.3502495384216324,-3.0970005321502683,-0.9090338659314721,-3.302478961524349,True
LANCORHOL.NS,2026-02-06,29.75,SELL,0.0899228083453825,7.708246587424759,5.901819896697997,5.045492973327637,5.7609985328709605,-0.8056607318191906,True
LAGNAM.NS,2026-02-06,74.62000274658203,SELL,0.28443391170213544,2.436935794371179,-14.69689735412598,-15.922850685119627,-15.084361054934877,-29.220898512090347,True
ICRA.NS,2026-02-06,5923.5,BUY,0.21040975144543084,3.294273082869503,-379.3038598632811,-312.2445800781252,94.06079267729561,-374.3335885739748,True
GRPLTD.NS,2026-02-06,1820.0999755859375,SELL,0.19746421505921805,3.510241996769266,-425.0261834716798,-469.9257836914062,-436.18490433390775,-748.3633554573216,True
GENCON.NS,2026-02-06,53.61000061035156,SELL,0.18495360516485101,3.7476813709153505,11.399700403213501,9.46245162010193,11.183833470306883,0.5637333211865849,True
E2E.NS,2026-02-06,2498.10009765625,SELL,0.11925633206619336,5.81224634827116,-65.88640747070303,-193.63610229492178,-83.50997804863346,-697.36673223101,True
DRCSYSTEMS.NS,2026-02-06,17.639999389648438,SELL,0.270888847529695,2.5587881778114254,-1.2323505449295027,-2.191150622367857,-1.5691991724285372,-4.007228307559006,True
DCMNVL.NS,2026-02-06,140.99000549316406,SELL,0.21336663795868324,3.2486202491233316,-18.470294990539543,-24.72779376983644,-20.679666515394935,-40.87786767516677,True
BLKASHYAP.NS,2026-02-06,54.66999816894531,SELL,0.2020465344063569,3.4306313770563595,-7.098851718902587,-8.304999446868898,-7.626092305803736,-17.182476849914806,True
ATUL.NS,2026-02-06,6459.0,SELL,0.2485067180673316,2.789249264368542,28.216274414062354,-175.04078369140643,-54.41020195194545,-638.4732658893361,True
APOLLOPIPE.NS,2026-02-06,313.3999938964844,SELL,0.3898708277990528,1.7778893190675122,-48.63458564758298,-96.99689323425292,-63.37112134419792,-102.47797785100144,True
WIPL.NS,2026-02-06,158.3800048828125,SELL,0.3737786513721428,1.8544322368744162,2.065080261230463,-7.279213027954114,1.8148819097803077,-14.547761714257629,True
