Symbol,Date,Close,Signal,Theta,Half_Life,Deviation_Xt,Prev_Xt,Upper_Band,Lower_Band,Regime_Valid
ADANIPOWER.NS,2026-04-06,163.25999450683594,SELL,0.17756626553921284,3.903597220198755,24.732694320678718,21.70080101013184,23.873724998064823,0.12884499467162946,True
KSCL.NS,2026-04-06,848.9000244140625,SELL,0.1297145273874304,5.343635709280722,-158.6357302856445,-174.4981314086914,-159.9945134459517,-343.03264323777853,True
VMART.NS,2026-04-06,612.4500122070312,SELL,0.19384163250459108,3.575842669110457,-112.18298904418941,-181.29422683715825,-137.25486161278442,-254.83819928531997,True
UDS.NS,2026-04-06,147.41000366210938,SELL,0.25439056909539615,2.7247361528564213,-66.19449592590331,-75.3209563446045,-68.84504137638716,-95.46823592651315,True
SWARAJENG.NS,2026-04-06,3642.699951171875,SELL,0.335553729010896,2.0656816498601263,-240.3003002929686,-340.5796813964844,-246.02799618236324,-535.0274442664446,True
SUVEN.NS,2026-04-06,167.83999633789062,SELL,0.11132782088525787,6.226181156230036,-27.265803833007823,-37.48674346923829,-29.557901873715977,-79.32570825414989,True
RUCHINFRA.NS,2026-04-06,6.880000114440918,SELL,0.0773827332781016,8.957388182049362,0.0391001248359677,-0.9061499309539798,-0.012583245631347939,-2.4718970456934692,True
RELIANCE.NS,2026-04-06,1304.699951171875,BUY,0.1556297285613047,4.4538224603206515,-140.04134338378913,-94.84532775878915,25.036241390176627,-132.448224279881,True
REFEX.NS,2026-04-06,212.86000061035156,SELL,0.2206429547445206,3.141487936302026,-113.25869491577146,-123.35976615905764,-113.32981703766492,-156.9041596876563,True
RAJTV.NS,2026-04-06,28.639999389648438,BUY,0.09098471911312508,7.618281259934721,-12.69640064239502,-6.433848361968991,0.7924564106373788,-11.30156187756086,True
OLAELEC.NS,2026-04-06,29.190000534057617,SELL,0.10106104333600596,6.858698047034621,-11.791199550628662,-12.727799921035768,-12.016148580607968,-20.786409416033486,True
MITCON.NS,2026-04-06,65.08000183105469,SELL,0.10090956990525751,6.868993507857885,-3.29244802474976,-8.501498622894289,-5.113015273315626,-20.497476856817382,True
MAHESHWARI.NS,2026-04-06,44.90999984741211,SELL,0.49794084434844105,1.3920271623167066,-7.700350284576416,-8.627600898742678,-7.961508445298273,-14.259193085341677,True
KRONOX.NS,2026-04-06,130.8000030517578,SELL,0.15284629403009378,4.534929583725937,-18.32746551513671,-30.412164154052732,-20.477007803545007,-48.05709467006881,True
AKSHOPTFBR.NS,2026-04-06,4.940000057220459,SELL,0.31863669536492456,2.175352652857844,-1.9761999499797822,-2.3367501032352447,-2.0458773462976323,-3.072162671905983,True
KOTHARIPET.NS,2026-04-06,117.36000061035156,SELL,0.2677435347569226,2.588847499863015,-23.937613258361807,-31.50302646636962,-25.781194682595043,-41.63870678843956,True
KHAITANLTD.NS,2026-04-06,101.05999755859375,SELL,0.4156030390863483,1.6678106639541022,-9.494952278137205,-11.598150138854976,-9.940218116452115,-22.755140532337258,True
JSFB.NS,2026-04-06,385.70001220703125,SELL,0.2342085925618404,2.959529251160701,-53.09173873901369,-66.64773864746093,-53.13928671621417,-114.8601802279637,True
IOLCP.NS,2026-04-06,79.44000244140625,SELL,0.23993418958461327,2.888905419273336,-9.3202978515625,-11.516849365234378,-9.330058893660265,-21.436175818048095,True
IEX.NS,2026-04-06,126.16000366210938,SELL,0.23190082572829096,2.988981080093602,-17.35534606933595,-24.398351516723636,-18.970740312695167,-36.54443202271196,True
GUJAPOLLO.NS,2026-04-06,441.3500061035156,SELL,0.26096180162827687,2.6561250582845393,10.744581909179715,-8.434318389892553,4.836428531512112,-56.11037358306252,True
GRANULES.NS,2026-04-06,644.0,SELL,0.21497804915240717,3.2242695628358944,100.02630630493161,70.27588973999025,91.99164798179008,14.641338943217349,True
EXICOM.NS,2026-04-06,89.58999633789062,SELL,0.3875159631809663,1.7886932318095294,-40.31437042236328,-45.46646308898926,-41.22469894924389,-53.076381271408124,True
BSHSL.NS,2026-04-06,100.38999938964844,SELL,0.14520666669707336,4.773521741987041,-14.464450397491461,-27.638298282623296,-19.50108815135161,-45.89784024744314,True
ASIANHOTNR.NS,2026-04-06,311.3999938964844,SELL,0.5820404557243486,1.1908917563081152,-12.462006530761698,-30.610488281250014,-15.43901496119927,-51.206604268058676,True
ASAHISONG.NS,2026-04-06,215.97999572753906,SELL,0.27197106294434886,2.548606359279399,-71.48444572448733,-82.05958511352537,-77.55038008695658,-112.27062868752265,True
ZYDUSWELL.NS,2026-04-06,509.3500061035156,SELL,0.09073412277991771,7.63932200282825,76.87395797729494,11.21299118041992,54.154077764219366,-66.63981857795899,True
